InstrumentId	Lane	RunId
HWI-ST459_176	2	SRR2015500
HWI-ST459_176	3	SRR2017695
HWI-ST459_176	4	SRR2017696
HWI-ST459_176	2	SRR2017697
HWI-ST731_76	6	SRR2017699
HWI-ST459_176	5	SRR2017701
HWI-ST459_176	5	SRR2017702
D6L3XBQ1_271	6	SRR2017703
D6L3XBQ1_271	7	SRR2017706
HWI-ST459_176	4	SRR2017710
D6L3XBQ1_271	6	SRR2017711
HWI-ST459_181	5	SRR2017713
HWI-ST459_181	5	SRR2017714
HWI-ST459_176	5	SRR2017716
D6L3XBQ1_271	6	SRR2017717
D6L3XBQ1_280	1	SRR2017724
HWI-ST459_176	5	SRR2017726
HWI-ST731_76	3	SRR2017727
D6L3XBQ1_280	3	SRR2017728
HWI-ST539_185	8	SRR2017729
HWI-ST459_176	4	SRR2017731
D6L3XBQ1_280	2	SRR2017733
D6L3XBQ1_280	2	SRR2017734
HWI-ST459_176	6	SRR2017737
D6L3XBQ1_271	7	SRR2017738
HWI-ST459_176	2	SRR2017741
HWI-ST459_176	6	SRR2017742
D6L3XBQ1_271	6	SRR2017743
HWI-ST459_176	6	SRR2017744
HWI-ST459_176	7	SRR2017782
D6L3XBQ1_280	2	SRR2017783
HWI-ST731_76	1	SRR2017785
D6L3XBQ1_280	3	SRR2017786
HWI-ST539_185	1	SRR2017789
HWI-ST539_185	5	SRR2017790
HWI-ST539_185	3	SRR2017791
HWI-ST539_185	4	SRR2017792
HWI-ST731_76	2	SRR2017793
HWI-ST539_185	4	SRR2017794
HWI-ST539_185	3	SRR2017795
HWI-ST539_185	5	SRR2017796
HWI-ST539_185	5	SRR2017798
D6L3XBQ1_280	1	SRR2017799
HWI-ST459_181	5	SRR2017801
HWI-ST539_185	5	SRR2017802
D6L3XBQ1_280	1	SRR2017803
D6L3XBQ1_280	2	SRR2017804
HWI-ST539_185	6	SRR2017805
HWI-ST459_181	5	SRR2017806
HWI-ST459_181	6	SRR2017807
HWI-ST539_185	6	SRR2017809
HWI-ST459_181	6	SRR2017826
HWI-ST459_181	6	SRR2017827
HWI-ST539_185	8	SRR2017828
HWI-ST459_181	6	SRR2017829
HWI-ST459_181	8	SRR2017843
HWI-ST539_185	2	SRR2017844
HWI-ST459_181	4	SRR2017859
HWI-ST459_181	7	SRR2017907
HWI-ST459_181	7	SRR2017908
HWI-ST539_185	6	SRR2017909
HWI-ST459_181	7	SRR2017911
HWI-ST539_186	2	SRR2017913
HWI-ST459_181	4	SRR2017915
HWI-ST539_185	2	SRR2017917
D6L3XBQ1_280	1	SRR2017918
HWI-ST459_181	7	SRR2017919
HWI-ST539_185	3	SRR2017921
HWI-ST539_185	7	SRR2017922
HWI-ST539_185	7	SRR2017923
HWI-ST731_76	1	SRR2017924
HWI-ST731_76	5	SRR2017925
HWI-ST539_186	2	SRR2017926
HWI-ST539_185	7	SRR2017928
HWI-ST731_76	4	SRR2017929
HWI-ST539_185	8	SRR2017932
HWI-ST459_181	1	SRR2017934
HWI-ST459_181	2	SRR2017936
HWI-ST539_185	7	SRR2017938
HWI-ST459_181	2	SRR2017940
HWI-ST459_176	6	SRR2017943
HWI-ST459_181	3	SRR2017947
HWI-ST459_176	7	SRR2017977
HWI-ST459_176	7	SRR2017980
HWI-ST459_176	7	SRR2017987
HWI-ST459_176	8	SRR2017988
HWI-ST459_181	8	SRR2017989
HWI-ST459_176	1	SRR2017990
HWI-ST459_176	2	SRR2017991
HWI-ST459_176	8	SRR2017992
HWI-ST539_186	3	SRR2017993
HWI-ST459_176	3	SRR2017994
HWI-ST459_176	3	SRR2017996
HWI-ST539_185	3	SRR2017997
HWI-ST459_181	8	SRR2017998
HWI-ST459_176	8	SRR2018001
HWI-ST700660_218	3	SRR2018037
HWI-7001432L_65	4	SRR2018051
HWI-ST459_176	8	SRR2018104
HWI-ST539_185	4	SRR2018111
HWI-ST539_185	4	SRR2018115
HWI-ST539_186	2	SRR2018123
HWI-ST539_185	8	SRR2018131
HWI-ST539_173	5	SRR2018145
D6L3XBQ1_271	7	SRR2018156
HWI-ST539_186	3	SRR2018168
HWI-ST539_186	3	SRR2018183
HWI-ST539_173	6	SRR2018202
HWI-ST539_186	4	SRR2018218
HWI-ST539_173	2	SRR2018227
HWI-ST700660_218	5	SRR2018230
HWI-ST539_172	4	SRR2018231
HWI-ST539_172	4	SRR2018232
D6L3XBQ1_271	7	SRR2018233
HWI-ST700660_218	6	SRR2018235
HWI-ST539_172	1	SRR2018247
HWI-ST539_186	4	SRR2018248
HWI-ST539_173	4	SRR2018253
HWI-ST539_173	1	SRR2018254
HWI-ST539_172	5	SRR2018255
HWI-ST539_186	4	SRR2018257
HWI-ST459_176	4	SRR2018258
HWI-ST539_186	8	SRR2018259
HWI-ST539_173	8	SRR2018831
HWI-ST539_172	4	SRR2018832
HWI-7001432L_65	4	SRR2018833
HWI-ST539_172	5	SRR2018834
HWI-ST539_172	3	SRR2018835
HWI-ST539_186	2	SRR2018836
HWI-ST539_173	3	SRR2018837
HWI-ST539_185	2	SRR2018839
HWI-ST539_172	3	SRR2018840
HWI-ST539_173	7	SRR2018841
HWI-ST539_172	3	SRR2018842
HWI-ST539_172	1	SRR2018844
HWI-ST459_176	3	SRR2018846
HWI-7001432L_65	4	SRR2018847
HWI-ST700660_218	4	SRR2018848
HWI-ST539_185	6	SRR2018849
HWI-ST539_172	1	SRR2018850
HWI-ST539_186	6	SRR2018851
HWI-7001432L_65	8	SRR2018852
HWI-ST539_186	3	SRR2018853
HWI-ST539_185	2	SRR2018854
HWI-ST539_186	7	SRR2018855
HWI-ST539_172	1	SRR2064077
HWI-ST539_186	4	SRR2064080
HWI-ST539_186	5	SRR2064082
HWI-ST459_181	3	SRR2064083
